Deal Ref,Client,Sales Owner,Opened On,Closed On,Deal Value,Outcome,Notes
LEG-1031,"Hawkins, Cohen and Cameron",Vikram Singh,28-08-2022,25-10-2022,12244.24,Won,
LEG-1032,Chavez Ltd,Rohan Verma,21-10-2022,30-11-2022,34203.26,Won,
LEG-1033,Koch-Decker,Aditi Sharma,05/28/2021,06/19/2021,36090.64,Won,Migrated from legacy CRM
LEG-1034,Delacruz Group,Nisha Pillai,01/27/2022,02/14/2022,52449.36,Cancelled,
LEG-1035,"Cannon, Anderson and Alvarez",Meera Iyer,30-04-2021,28-06-2021,79000.35,Cancelled,
LEG-1036,Davis Inc,Priya Nair,2022/09/15,2023/01/12,"$6,609.38",Won,
LEG-1037,"Campos, Vaughn and Marquez",Meera Iyer,11/19/2021,12/27/2021,48590.04,Won,Renewal
LEG-1038,"Sanchez, Ford and Nelson",Arjun Rao,2022/05/11,,85184.95,In Progress,
LEG-1039,Harrell LLC,Nisha Pillai,2022/06/07,2022/10/04,20197.26,Won,Discount applied
LEG-1040,Koch-Decker,Sneha Kapoor,2021/12/23,2022/03/31,82420.56,Lost,Migrated from legacy CRM
LEG-1041,Conner Group,Rohan Verma,18-10-2022,29-12-2022,29194.49,Cancelled,
LEG-1042,Clark PLC,Aditi Sharma,11/21/2021,01/16/2022,45632.99,Won,
LEG-1043,"Johnson, Gonzalez and Santos",Deepak Joshi,02/10/2021,,53129.64,In Progress,
LEG-1044,"Potter, Mack and Peterson",Deepak Joshi,2021/04/07,2021/05/30,20188.55,Lost,Discount applied
LEG-1045,"Zuniga, Wong and Lynch",Arjun Rao,30-10-2021,11-02-2022,"$82,316.94",Won,
LEG-1046,Davis Inc,Priya Nair,02/16/2022,05/15/2022,"$56,719.47",Won,
LEG-1047,Johnson-Davis,Meera Iyer,12-02-2022,,75085.21,In Progress,
LEG-1048,Lewis-Porter,Karan Malhotra,05/06/2022,08/08/2022,83307.29,Won,Renewal
LEG-1049,"Hawkins, Cohen and Cameron",Nisha Pillai,2021/08/13,2021/10/20,76466.55,Won,Renewal
LEG-1050,Davis Inc,Rohan Verma,2021/01/16,2021/05/09,15084.39,Lost,Renewal
LEG-1051,James-Ferrell,Priya Nair,2021/07/05,2021/09/26,18393.54,Won,Migrated from legacy CRM
LEG-1052,Blake and Sons,Deepak Joshi,03-01-2021,,37961.94,In Progress,Renewal
LEG-1053,Conner Group,Meera Iyer,08-06-2021,28-08-2021,"$44,330.30",Won,
LEG-1054,Johnson-Davis,Deepak Joshi,2021/02/23,2021/05/27,"$41,677.34",Lost,
LEG-1055,Stanley LLC,Arjun Rao,11/05/2021,11/25/2021,17133.11,Cancelled,
LEG-1056,Delacruz Group,Arjun Rao,2022/05/26,2022/06/17,85426.63,Cancelled,
LEG-1057,"Ellis, Baker and Wright",Aditi Sharma,30-01-2022,22-02-2022,28751.36,Won,
LEG-1058,Campos Inc,Aditi Sharma,13-02-2021,07-05-2021,57198.42,Lost,
LEG-1059,"Zuniga, Wong and Lynch",Aditi Sharma,2022/10/14,2022/10/29,9023.91,Won,
LEG-1060,"Sanchez, Ford and Nelson",Vikram Singh,12/20/2022,03/05/2023,28292.29,Won,Migrated from legacy CRM
LEG-1061,"Zuniga, Wong and Lynch",Meera Iyer,2021/12/11,2022/03/17,81277.6,Won,
LEG-1062,"Martinez, Nielsen and Miller",Aditi Sharma,2021/07/29,,"$35,654.72",In Progress,Renewal
LEG-1063,"Flowers, Martin and Kelly",Sneha Kapoor,12-05-2021,04-08-2021,"$88,924.09",Cancelled,Renewal
LEG-1064,James-Ferrell,Meera Iyer,2021/04/09,2021/06/20,85904.18,Lost,
LEG-1065,"Santos, Kim and Holmes",Arjun Rao,04/13/2022,05/22/2022,20735.77,Cancelled,Discount applied
LEG-1066,Allen PLC,Vikram Singh,2022/06/16,2022/10/10,30393.31,Won,Discount applied
LEG-1067,Koch-Decker,Sneha Kapoor,04-12-2022,13-01-2023,33040.75,Lost,Renewal
LEG-1068,"Cannon, Anderson and Alvarez",Meera Iyer,2021/09/30,2021/11/10,52795.79,Cancelled,Discount applied
LEG-1069,"Lynch, Hernandez and Farmer",Arjun Rao,12-10-2022,21-11-2022,44297.86,Won,
LEG-1070,"Ellis, Baker and Wright",Arjun Rao,23-11-2021,18-12-2021,"$78,153.44",Lost,
LEG-1071,Harrell LLC,Arjun Rao,31-10-2022,24-12-2022,82195.12,Lost,Migrated from legacy CRM
LEG-1072,Davis Inc,Deepak Joshi,10/03/2021,01/28/2022,17743.87,Cancelled,
LEG-1073,Davis Inc,Meera Iyer,2021/02/28,2021/06/03,28186.18,Cancelled,
LEG-1074,Campos Inc,Vikram Singh,2022/12/04,2023/01/05,45011.68,Lost,Renewal
LEG-1075,Cole LLC,Meera Iyer,09/30/2022,12/16/2022,80161.93,Lost,Discount applied
LEG-1076,Delacruz Group,Arjun Rao,07-04-2021,11-06-2021,13543.58,Won,
LEG-1077,"Montgomery, Hensley and Ray",Arjun Rao,2022/09/20,2023/01/15,5372.18,Won,
LEG-1078,"Sanchez, Ford and Nelson",Priya Nair,28-03-2021,17-06-2021,46106.38,Won,Renewal
LEG-1079,Burgess-Patterson,Deepak Joshi,25-12-2022,21-02-2023,89578.32,Won,
LEG-1080,Conner Group,Sneha Kapoor,14-10-2021,,5652.25,In Progress,
LEG-1081,"Potter, Mack and Peterson",Sneha Kapoor,04/03/2021,05/22/2021,35544.28,Won,
LEG-1082,Blake and Sons,Arjun Rao,2022/12/15,2023/04/01,46039.42,Won,
LEG-1083,"Sanchez, Ford and Nelson",Rohan Verma,01-09-2022,28-12-2022,"$19,231.22",Won,
LEG-1084,Stanton-Gill,Arjun Rao,2022/07/06,,57101.62,In Progress,
LEG-1085,Blake and Sons,Aditi Sharma,12/15/2022,01/06/2023,82948.19,Cancelled,
LEG-1086,Delacruz Group,Vikram Singh,04-12-2021,20-03-2022,37273.48,Lost,Renewal
LEG-1087,"Rodriguez, Figueroa and Sanchez",Rohan Verma,06/09/2022,09/18/2022,"$78,390.71",Lost,
LEG-1088,Cole LLC,Karan Malhotra,11/06/2021,01/29/2022,87654.24,Lost,Migrated from legacy CRM
LEG-1089,Clark PLC,Karan Malhotra,04-10-2021,17-11-2021,75899.47,Cancelled,Migrated from legacy CRM
LEG-1090,"Montgomery, Hensley and Ray",Rohan Verma,17-06-2021,04-10-2021,60316.43,Won,
LEG-1091,Chavez Ltd,Aditi Sharma,02-12-2021,20-03-2022,57306.7,Won,Migrated from legacy CRM
LEG-1092,"Ellis, Baker and Wright",Vikram Singh,04/24/2021,06/24/2021,"$62,324.82",Won,Renewal
LEG-1093,Rose-Obrien,Meera Iyer,2021/05/18,2021/07/10,30958.82,Won,Migrated from legacy CRM
LEG-1094,Stanton-Gill,Vikram Singh,2022/10/01,2022/12/14,83416.36,Cancelled,
LEG-1095,"Ellis, Baker and Wright",Sneha Kapoor,2022/07/13,2022/11/01,"$40,085.36",Lost,Renewal
LEG-1096,"Flowers, Martin and Kelly",Rohan Verma,01/24/2021,04/04/2021,81861.16,Won,Renewal
LEG-1097,Dennis Inc,Priya Nair,2022/04/27,2022/06/15,21007.06,Lost,
LEG-1098,"Johnson, Gonzalez and Santos",Arjun Rao,2022/03/25,2022/07/10,41225.64,Won,
LEG-1099,"Flowers, Martin and Kelly",Sneha Kapoor,2022/11/14,2023/02/27,16167.09,Cancelled,
LEG-1100,"Campos, Vaughn and Marquez",Meera Iyer,11-10-2022,14-01-2023,30712.63,Won,Migrated from legacy CRM
LEG-1101,Chavez Ltd,Arjun Rao,06/25/2021,,35782.81,In Progress,Renewal
LEG-1102,Harrell LLC,Priya Nair,02/19/2021,04/16/2021,24075.7,Won,Discount applied
LEG-1103,"Zuniga, Wong and Lynch",Nisha Pillai,09-03-2022,,87030.76,In Progress,Discount applied
LEG-1104,,Deepak Joshi,22-11-2021,21-03-2022,46018.56,Won,Renewal
LEG-1105,Underwood LLC,Rohan Verma,2022/05/05,2022/08/07,46220.88,Cancelled,Renewal
LEG-1106,"Zuniga, Wong and Lynch",Aditi Sharma,2022/09/28,,35285.29,In Progress,Migrated from legacy CRM
LEG-1107,"Lynch, Hernandez and Farmer",Arjun Rao,2021/06/28,2021/09/30,52321.5,Lost,
LEG-1108,"Sellers, George and Burns",Priya Nair,02/02/2021,05/04/2021,67074.11,Lost,Renewal
LEG-1109,Rhodes PLC,Sneha Kapoor,17-11-2021,16-03-2022,29643.22,Won,Migrated from legacy CRM
LEG-1110,"Ellis, Baker and Wright",Rohan Verma,2022/01/29,2022/03/03,57826.53,Won,Renewal
LEG-1111,Rhodes PLC,Rohan Verma,07/04/2022,10/17/2022,42986.68,Won,Migrated from legacy CRM
LEG-1112,"Ellis, Baker and Wright",Sneha Kapoor,20-07-2022,20-09-2022,65963.11,Lost,Migrated from legacy CRM
LEG-1113,,Deepak Joshi,13-04-2021,03-08-2021,31865.22,Won,
LEG-1114,"Sanchez, Ford and Nelson",Rohan Verma,26-12-2022,18-01-2023,17035.01,Won,Migrated from legacy CRM
LEG-1115,Koch-Decker,Sneha Kapoor,2021/06/20,2021/08/26,68573.16,Cancelled,
LEG-1116,"Hawkins, Cohen and Cameron",Karan Malhotra,31-10-2022,26-11-2022,"$42,570.84",Lost,
LEG-1117,,Karan Malhotra,24-02-2022,21-05-2022,76488.81,Lost,
LEG-1118,"Sellers, George and Burns",Priya Nair,02/25/2022,03/29/2022,37327.17,Cancelled,
LEG-1119,Rose-Obrien,Vikram Singh,2022/07/18,2022/10/30,7451.18,Won,Migrated from legacy CRM
LEG-1120,"Rodriguez, Figueroa and Sanchez",Nisha Pillai,2022/08/20,2022/11/17,75297.15,Won,Migrated from legacy CRM
LEG-1121,"Ellis, Baker and Wright",Priya Nair,2021/06/22,2021/09/10,21336.39,Cancelled,
LEG-1122,"Flowers, Martin and Kelly",Meera Iyer,01-10-2022,12-12-2022,87225.19,Won,
LEG-1123,Lewis-Porter,Karan Malhotra,12/20/2022,01/17/2023,84245.18,Won,Migrated from legacy CRM
LEG-1124,"Flowers, Martin and Kelly",Deepak Joshi,01/15/2022,04/22/2022,23763.66,Won,Migrated from legacy CRM
LEG-1125,"Ellis, Baker and Wright",Vikram Singh,2021/10/29,2021/12/06,21746.33,Cancelled,Discount applied
LEG-1126,"Sanchez, Ford and Nelson",Rohan Verma,2021/07/20,2021/10/05,28539.45,Won,
LEG-1127,Conner Group,Nisha Pillai,10-02-2022,,85423.69,In Progress,
LEG-1128,Campos Inc,Rohan Verma,08-03-2022,09-05-2022,59536.4,Won,Renewal
LEG-1129,"Flowers, Martin and Kelly",Rohan Verma,20-06-2022,,29976.31,In Progress,
LEG-1130,Rose-Obrien,Deepak Joshi,08-05-2021,22-07-2021,11404.19,Won,Migrated from legacy CRM
LEG-1131,James-Ferrell,Sneha Kapoor,2022/05/10,2022/08/05,9442.41,Won,
LEG-1132,Cole LLC,Priya Nair,2022/02/10,2022/04/25,"$19,051.97",Won,Renewal
LEG-1133,Chavez Ltd,Aditi Sharma,04-02-2021,25-03-2021,61726.86,Won,Discount applied
LEG-1134,"Johnson, Gonzalez and Santos",Priya Nair,09/09/2021,,46013.38,In Progress,Migrated from legacy CRM
LEG-1135,Campos Inc,Deepak Joshi,2022/04/14,2022/06/15,74581.42,Lost,Migrated from legacy CRM
LEG-1136,Clark PLC,Meera Iyer,2021/10/05,2021/12/03,38553.01,Cancelled,Discount applied
LEG-1137,Robinson-Bright,Vikram Singh,18-01-2022,29-03-2022,55785.06,Cancelled,Discount applied
LEG-1138,Burgess-Patterson,Deepak Joshi,23-05-2022,28-06-2022,82973.69,Lost,Discount applied
LEG-1139,Davis Inc,Deepak Joshi,25-10-2021,21-02-2022,74922.95,Won,Discount applied
LEG-1140,"Zuniga, Wong and Lynch",Arjun Rao,2021/08/07,2021/08/22,84367.45,Cancelled,
LEG-1141,James-Ferrell,Karan Malhotra,2021/05/15,2021/09/09,51166.76,Won,Renewal
LEG-1142,Delacruz Group,Aditi Sharma,28-01-2022,25-02-2022,43014.25,Won,Renewal
LEG-1143,"Flowers, Martin and Kelly",Deepak Joshi,06/25/2021,07/19/2021,85709.51,Won,
LEG-1144,Cole LLC,Rohan Verma,2021/06/14,2021/07/02,14412.5,Won,Renewal
LEG-1145,Campos Inc,Karan Malhotra,2022/09/18,2022/11/26,4908.89,Won,Renewal
LEG-1146,,Arjun Rao,04/16/2021,07/01/2021,7601.24,Won,
LEG-1147,Rose-Obrien,Nisha Pillai,2021/12/04,2022/02/17,68750.94,Won,Renewal
LEG-1148,Blake and Sons,Rohan Verma,12-02-2021,,"$69,278.25",In Progress,
LEG-1149,Harrell LLC,Aditi Sharma,10/28/2021,,43103.01,In Progress,Migrated from legacy CRM
LEG-1150,"Rodriguez, Figueroa and Sanchez",Meera Iyer,10/31/2021,02/22/2022,77499.23,Won,Discount applied
LEG-1151,Allen PLC,Aditi Sharma,22-01-2022,11-04-2022,43833.48,Won,Discount applied
LEG-1152,Johnson-Davis,Priya Nair,2021/10/11,2021/12/31,18957.01,Won,Renewal
LEG-1153,,Meera Iyer,05-07-2021,08-08-2021,21124.58,Cancelled,
LEG-1154,Chavez Ltd,Rohan Verma,2021/08/29,2021/10/11,78438.64,Won,
LEG-1155,"Potter, Mack and Peterson",Aditi Sharma,02/27/2021,06/16/2021,52398.28,Won,Discount applied
LEG-1156,Cole LLC,Rohan Verma,24-11-2021,07-02-2022,27985.59,Won,Migrated from legacy CRM
LEG-1157,"Montgomery, Hensley and Ray",Rohan Verma,28-09-2021,16-12-2021,81969.0,Lost,
LEG-1158,Stanley LLC,Nisha Pillai,2022/01/26,2022/04/20,51933.69,Cancelled,
LEG-1159,,Aditi Sharma,28-08-2022,11-10-2022,15456.47,Won,
LEG-1160,"Ellis, Baker and Wright",Karan Malhotra,02/07/2021,03/28/2021,49624.66,Cancelled,
LEG-1161,Allen PLC,Rohan Verma,2021/10/02,2021/12/16,"$45,171.15",Lost,
LEG-1162,"Valencia, Smith and Le",Arjun Rao,18-03-2022,20-04-2022,"$89,128.56",Lost,Migrated from legacy CRM
LEG-1163,Delacruz Group,Arjun Rao,2021/01/29,2021/05/20,7690.17,Cancelled,Renewal
LEG-1164,"Valencia, Smith and Le",Meera Iyer,02/23/2021,,45225.46,In Progress,
LEG-1165,Blake and Sons,Meera Iyer,2022/08/10,,"$41,215.77",In Progress,
LEG-1166,Lewis-Porter,Deepak Joshi,2022/03/05,2022/05/09,43947.61,Won,Migrated from legacy CRM
LEG-1167,Dennis Inc,Nisha Pillai,05/05/2022,07/19/2022,69137.92,Lost,Renewal
LEG-1168,Cole LLC,Priya Nair,2021/06/08,2021/09/19,87869.49,Won,Migrated from legacy CRM
LEG-1169,Delacruz Group,Arjun Rao,06/02/2021,09/01/2021,83706.51,Won,
LEG-1170,"Santos, Kim and Holmes",Meera Iyer,10/24/2022,01/13/2023,26696.27,Won,
LEG-1171,Stanley LLC,Rohan Verma,08/10/2021,10/10/2021,31618.25,Won,
LEG-1172,"Lynch, Hernandez and Farmer",Arjun Rao,10/25/2022,02/18/2023,75413.48,Lost,Renewal
LEG-1173,Cole LLC,Priya Nair,06/04/2021,07/23/2021,43480.81,Won,Renewal
LEG-1174,Dennis Inc,Nisha Pillai,19-05-2021,23-07-2021,73831.24,Won,Discount applied
LEG-1175,Harrell LLC,Sneha Kapoor,2022/06/25,2022/08/04,40782.83,Cancelled,Migrated from legacy CRM
LEG-1176,Cole LLC,Priya Nair,29-06-2022,06-08-2022,35074.8,Won,Discount applied
LEG-1177,"Cannon, Anderson and Alvarez",Aditi Sharma,04-07-2022,04-08-2022,83614.31,Won,
LEG-1178,"Santos, Kim and Holmes",Nisha Pillai,10/29/2022,01/31/2023,27836.95,Won,Discount applied
LEG-1179,"Montgomery, Hensley and Ray",Sneha Kapoor,23-05-2022,07-07-2022,5974.05,Lost,Discount applied
LEG-1180,Davis Inc,Rohan Verma,29-05-2022,03-07-2022,56815.38,Lost,Renewal
LEG-1181,Ramirez-Lewis,Aditi Sharma,10/17/2021,12/29/2021,18245.26,Lost,Migrated from legacy CRM
LEG-1182,"Valencia, Smith and Le",Vikram Singh,2021/06/24,2021/09/23,42370.21,Cancelled,
LEG-1183,"Lynch, Hernandez and Farmer",Sneha Kapoor,08/23/2021,,5980.29,In Progress,Discount applied
LEG-1184,"Flowers, Martin and Kelly",Arjun Rao,2021/07/26,2021/08/12,47650.1,Lost,
LEG-1185,James-Ferrell,Priya Nair,12/06/2021,03/20/2022,71774.02,Lost,Migrated from legacy CRM
LEG-1186,Cole LLC,Vikram Singh,04/18/2022,,86616.34,In Progress,
LEG-1187,"Potter, Mack and Peterson",Rohan Verma,2021/08/13,2021/10/11,36763.5,Cancelled,Migrated from legacy CRM
LEG-1188,"Zuniga, Wong and Lynch",Nisha Pillai,2021/09/20,2021/11/08,82397.48,Lost,
LEG-1189,Dennis Inc,Aditi Sharma,06-10-2022,,11737.64,In Progress,Migrated from legacy CRM
LEG-1190,Stanley LLC,Karan Malhotra,2021/12/06,2022/01/22,"$16,816.52",Cancelled,Migrated from legacy CRM
LEG-1191,Stanley LLC,Priya Nair,09-08-2022,01-09-2022,78975.67,Cancelled,Renewal
LEG-1192,Ramirez-Lewis,Priya Nair,11-06-2022,,20803.11,In Progress,
LEG-1193,Allen PLC,Meera Iyer,2022/07/10,2022/11/01,51595.72,Lost,
LEG-1194,"Johnson, Gonzalez and Santos",Sneha Kapoor,2021/08/22,2021/09/27,"$48,139.15",Lost,
LEG-1195,Underwood LLC,Vikram Singh,29-05-2021,02-07-2021,24805.6,Lost,Renewal
LEG-1196,Cole LLC,Sneha Kapoor,08/17/2021,09/15/2021,25346.47,Lost,
LEG-1197,James-Ferrell,Deepak Joshi,2021/02/03,2021/04/26,62267.19,Cancelled,Discount applied
LEG-1198,Koch-Decker,Sneha Kapoor,09/22/2022,12/23/2022,65778.6,Lost,Discount applied
LEG-1199,"Campos, Vaughn and Marquez",Sneha Kapoor,25-06-2022,26-07-2022,55582.65,Cancelled,Renewal
LEG-1200,"Martinez, Nielsen and Miller",Vikram Singh,2021/01/12,2021/01/30,45901.06,Lost,Migrated from legacy CRM
LEG-1201,James-Ferrell,Vikram Singh,08-02-2022,13-03-2022,81443.31,Cancelled,Migrated from legacy CRM
LEG-1202,Ramirez-Lewis,Priya Nair,02-03-2022,15-05-2022,8415.78,Won,
LEG-1203,"Sellers, George and Burns",Deepak Joshi,06/09/2022,08/12/2022,"$79,001.71",Cancelled,
LEG-1204,Ramirez-Lewis,Meera Iyer,04-08-2021,19-10-2021,20639.22,Won,
LEG-1205,"Santos, Kim and Holmes",Vikram Singh,05/24/2021,07/05/2021,"$48,813.83",Won,Discount applied
LEG-1206,"Lynch, Hernandez and Farmer",Sneha Kapoor,17-06-2021,18-08-2021,72905.26,Won,Discount applied
LEG-1207,Chavez Ltd,Priya Nair,02/20/2022,05/18/2022,87259.13,Lost,
LEG-1208,,Aditi Sharma,29-06-2021,08-08-2021,27715.35,Lost,
LEG-1209,"Cannon, Anderson and Alvarez",Priya Nair,2022/02/06,2022/03/17,72754.56,Lost,
LEG-1210,"Montgomery, Hensley and Ray",Vikram Singh,19-11-2022,24-12-2022,"$45,509.15",Won,
LEG-1211,"Hawkins, Cohen and Cameron",Nisha Pillai,2021/09/04,2021/12/31,88233.4,Won,Migrated from legacy CRM
LEG-1212,"Campos, Vaughn and Marquez",Karan Malhotra,07/11/2022,10/19/2022,75840.84,Lost,
LEG-1213,James-Ferrell,Aditi Sharma,2021/12/23,2022/02/10,84834.84,Won,Migrated from legacy CRM
LEG-1214,"Sanchez, Ford and Nelson",Vikram Singh,06/12/2022,07/15/2022,23231.77,Lost,
LEG-1215,"Sanchez, Ford and Nelson",Meera Iyer,2022/06/24,2022/09/11,38387.16,Cancelled,
LEG-1216,Burgess-Patterson,Arjun Rao,2021/12/02,2021/12/24,41166.42,Won,Migrated from legacy CRM
LEG-1217,Clark PLC,Karan Malhotra,2022/06/19,2022/09/04,54604.4,Lost,Migrated from legacy CRM
LEG-1218,"Rodriguez, Figueroa and Sanchez",Meera Iyer,09/14/2021,11/09/2021,"$36,408.90",Cancelled,Renewal
LEG-1219,Munoz-Roman,Priya Nair,04/13/2021,08/07/2021,"$89,298.01",Won,Migrated from legacy CRM
LEG-1220,Blake and Sons,Aditi Sharma,03-02-2022,01-03-2022,"$30,640.00",Won,
LEG-1221,"Santos, Kim and Holmes",Priya Nair,2021/05/15,2021/07/19,55029.83,Lost,
LEG-1222,"Campos, Vaughn and Marquez",Karan Malhotra,11-10-2022,28-11-2022,59337.91,Won,
LEG-1223,"Sellers, George and Burns",Priya Nair,12/23/2022,02/19/2023,18001.36,Won,Renewal
LEG-1224,"Martinez, Nielsen and Miller",Aditi Sharma,2022/11/29,2023/01/13,61297.96,Won,
LEG-1225,Burgess-Patterson,Arjun Rao,17-01-2022,16-02-2022,"$42,607.14",Lost,Renewal
LEG-1226,Lewis-Porter,Karan Malhotra,09/04/2022,10/04/2022,61471.16,Cancelled,
LEG-1227,"Hawkins, Cohen and Cameron",Sneha Kapoor,24-02-2021,30-04-2021,"$33,677.37",Lost,Renewal
LEG-1228,"Potter, Mack and Peterson",Arjun Rao,08/20/2022,10/24/2022,78181.4,Lost,
LEG-1229,Munoz-Roman,Karan Malhotra,2021/02/05,2021/03/13,45872.9,Cancelled,Migrated from legacy CRM
LEG-1230,"Santos, Kim and Holmes",Arjun Rao,05-01-2021,22-04-2021,70293.96,Won,
LEG-1231,"Sellers, George and Burns",Priya Nair,04/11/2021,08/02/2021,"$21,347.34",Cancelled,Discount applied
LEG-1232,,Nisha Pillai,04/05/2022,07/07/2022,70195.22,Won,Discount applied
LEG-1233,Cole LLC,Vikram Singh,19-02-2021,03-05-2021,5540.68,Cancelled,Renewal
LEG-1234,Lewis-Porter,Aditi Sharma,04/21/2021,07/22/2021,31105.44,Lost,Discount applied
LEG-1235,Chavez Ltd,Karan Malhotra,09-06-2021,27-07-2021,"$49,643.88",Cancelled,
LEG-1236,Rhodes PLC,Deepak Joshi,2021/11/29,2021/12/23,50032.16,Won,Discount applied
LEG-1237,"Sanchez, Ford and Nelson",Sneha Kapoor,02/14/2021,05/03/2021,60870.82,Won,
LEG-1238,Harrell LLC,Aditi Sharma,10-04-2022,20-05-2022,"$62,917.23",Won,
LEG-1239,"Potter, Mack and Peterson",Karan Malhotra,2022/11/12,2023/02/28,29139.23,Lost,Migrated from legacy CRM
LEG-1240,Cole LLC,Meera Iyer,2022/10/28,2022/12/18,89818.12,Won,
LEG-1241,Allen PLC,Vikram Singh,2022/04/26,,13749.89,In Progress,Discount applied
LEG-1242,Robinson-Bright,Meera Iyer,01/12/2021,04/22/2021,"$27,933.85",Cancelled,
LEG-1243,Blake and Sons,Rohan Verma,01/23/2022,03/11/2022,5567.57,Lost,
LEG-1244,Robinson-Bright,Aditi Sharma,10/27/2021,01/16/2022,49993.59,Won,Renewal
LEG-1245,"Santos, Kim and Holmes",Vikram Singh,13-01-2021,,70724.15,In Progress,Discount applied
LEG-1246,Stanton-Gill,Sneha Kapoor,06/11/2022,07/04/2022,60504.21,Won,Migrated from legacy CRM
LEG-1247,Campos Inc,Arjun Rao,26-01-2022,15-02-2022,"$42,950.21",Cancelled,
LEG-1248,Rose-Obrien,Meera Iyer,28-07-2021,10-10-2021,12254.05,Cancelled,Renewal
LEG-1249,"Ellis, Baker and Wright",Karan Malhotra,01/02/2022,,14298.76,In Progress,Migrated from legacy CRM
LEG-1250,Munoz-Roman,Priya Nair,2022/05/24,2022/08/01,"$7,348.74",Cancelled,
LEG-1251,Lewis-Porter,Sneha Kapoor,10-11-2021,16-01-2022,87861.14,Won,
LEG-1252,Ramirez-Lewis,Arjun Rao,17-11-2022,,78777.42,In Progress,
LEG-1253,Rose-Obrien,Rohan Verma,2021/05/11,2021/06/28,"$31,374.81",Lost,
LEG-1254,Dennis Inc,Nisha Pillai,11/01/2022,02/21/2023,68916.29,Won,Discount applied
LEG-1255,Burgess-Patterson,Priya Nair,2022/01/18,,7503.42,In Progress,
LEG-1256,,Arjun Rao,06/25/2021,07/22/2021,4344.81,Cancelled,Discount applied
LEG-1257,Burgess-Patterson,Meera Iyer,03/28/2022,05/02/2022,84810.52,Lost,Discount applied
LEG-1258,"Sellers, George and Burns",Karan Malhotra,07/04/2021,,44447.15,In Progress,Renewal
LEG-1259,"Lynch, Hernandez and Farmer",Deepak Joshi,2021/09/16,2021/12/06,53595.4,Lost,
