Rep Name,Territory,Quarter,Quota (USD),Manager,Last Updated By
Priya Nair,South,Q2 2026,260886,Rahul Mehta,revops@company.com
Priya Nair,South,Q3 2026,249659,Rahul Mehta,revops@company.com
Arjun Rao,South,Q1 2023,162169,Anjali Desai,revops@company.com
Arjun Rao,South,Q2 2023,141688,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q3 2023,144728,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q4 2023,166786,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q1 2024,146416,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q2 2024,168776,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q3 2024,164233,Anjali Desai,revops@company.com
Arjun Rao,South,Q4 2024,145822,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q1 2025,136724,Anjali Desai,revops@company.com
Arjun Rao,South,Q2 2025,170425,Anjali Desai,revops@company.com
Arjun Rao,South,Q3 2025,138599,Anjali Desai,ops.team@company.com
Arjun Rao,south,Q4 2025,152006,Anjali Desai,ops.team@company.com
Arjun Rao,South,Q1 2026,150414,Anjali Desai,revops@company.com
Arjun Rao,South,Q2 2026,144607,Anjali Desai,revops@company.com
Arjun Rao,South,Q3 2026,136468,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q1 2023,237001,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q2 2023,252041,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q3 2023,264575,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q4 2023,272426,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q1 2024,263682,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q2 2024,236683,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q3 2024,255984,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q4 2024,247380,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q1 2025,240996,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q2 2025,268482,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q3 2025,245836,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q4 2025,265366,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q1 2026,238278,Anjali Desai,ops.team@company.com
Sneha Kapoor,South,Q2 2026,242727,Anjali Desai,revops@company.com
Sneha Kapoor,South,Q3 2026,242372,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q1 2023,196949,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q2 2023,186843,Anjali Desai,revops@company.com
Vikram Singh,South,Q3 2023,203078,Anjali Desai,revops@company.com
Vikram Singh,South,Q4 2023,176909,Anjali Desai,revops@company.com
Vikram Singh,South,Q1 2024,183549,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q2 2024,182355,Anjali Desai,revops@company.com
Vikram Singh,South,Q3 2024,194691,Anjali Desai,revops@company.com
Vikram Singh,South,Q4 2024,165761,Anjali Desai,revops@company.com
Vikram Singh,South,Q1 2025,174328,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q2 2025,191648,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q3 2025,197933,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q4 2025,182427,Anjali Desai,ops.team@company.com
Vikram Singh,South,Q1 2026,167692,Anjali Desai,revops@company.com
Vikram Singh,South,Q2 2026,190899,Anjali Desai,revops@company.com
Vikram Singh,South,Q3 2026,204448,Anjali Desai,ops.team@company.com
